[2024-07-08 19:51:47] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 19:51:47] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 19:53:07] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:53:31] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:53:39] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:53:41] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:53:43] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:53:45] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:54:47] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:54:51] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:54:53] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:55:21] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:55:25] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 19:55:58] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 19:56:53] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 19:56:53] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 19:57:13] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 19:57:22] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 2
[2024-07-08 19:57:48] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 19:58:02] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:03:00] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:03:03] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 2
[2024-07-08 20:07:36] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 2
[2024-07-08 20:07:55] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:07:57] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 20:08:02] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:08:04] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 11
[2024-07-08 20:08:09] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:08:10] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 5
[2024-07-08 20:08:17] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:08:18] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 9
[2024-07-08 20:12:01] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 9
[2024-07-08 20:12:29] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:12:35] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 8
[2024-07-08 20:12:57] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:13:05] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:13:17] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 2
[2024-07-08 20:13:45] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 2
[2024-07-08 20:14:10] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:19:55] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:21:03] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 20:22:41] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:22:44] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 2
[2024-07-08 20:23:03] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:23:14] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:23:54] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 20:24:12] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:24:16] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 11
[2024-07-08 20:24:31] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:32:29] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 20:32:38] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 20:32:56] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:33:02] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:33:17] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 10
[2024-07-08 20:33:52] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:33:58] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 20:34:16] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:34:19] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 6
[2024-07-08 20:34:31] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:34:35] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:34:56] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:02] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:05] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:09] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:13] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:22] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:26] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:29] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:37] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:40] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:42] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
[2024-07-08 20:35:44] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
